Close,High,Low,Open,Volume,Date_time,Year,Month,Day,5_day_MA,10_day_MA,20_day_MA,5_day_EMA,10_day_EMA,20_day_EMA,Target
69.33634948730469,69.36766511171524,66.95252437021095,67.5077187644288,36204000,2020-06-29,2020,06,29,69.33634948730469,69.33634948730469,69.33634948730469,69.33634948730469,69.33634948730469,69.33634948730469,1.0
70.26284790039062,70.51336533431963,68.78910975572411,69.11120034892737,40848000,2020-06-30,2020,06,30,69.79959869384766,69.79959869384766,69.79959869384766,69.89224853515626,69.84592361450196,69.82276115417481,1.0
71.47712707519531,71.72366272005128,70.07446166676,70.13808645986579,35504000,2020-07-01,2020,07,01,70.35877482096355,70.35877482096355,70.35877482096355,70.64298047517475,70.50165656713949,70.43023440244296,0.0
72.80225372314453,73.70936022797545,71.89365310878918,71.91950044513077,37182000,2020-07-02,2020,07,02,70.96964454650879,70.96964454650879,70.96964454650879,71.53990936279297,71.25960082818966,71.11499970571657,0.0
74.34310150146484,74.88437872927207,73.20784365699218,73.56571703541545,31280000,2020-07-06,2020,07,06,71.6443359375,71.6443359375,71.6443359375,72.61601629754378,72.14479000795912,71.89585005955807,0.0
73.8202133178711,75.39186502944102,73.7391901003157,74.05978660216766,29164000,2020-07-07,2020,07,07,72.54110870361328,72.00698216756184,72.00698216756184,73.05604618617467,72.5799553137112,72.30180280714639,0.0
74.35800170898438,74.84907830143733,73.84256430763925,74.27449843815538,24994000,2020-07-08,2020,07,08,73.36013946533203,72.34284210205078,72.34284210205078,73.51701052620784,73.00839306913058,72.69057912483876,0.0
75.10307312011719,75.68610952040018,73.96459204658804,74.87741708533794,28466000,2020-07-09,2020,07,09,74.0853286743164,72.68787097930908,72.68787097930908,74.06716419676766,73.48494287556423,73.10759083419836,0.0
76.63148498535156,76.73536730479013,74.38484495989114,74.86250492033803,37126000,2020-07-10,2020,07,10,74.8511749267578,73.1260503133138,73.1260503133138,74.94476623598831,74.16952032771897,73.67284068704565,0.0
75.1204833984375,78.39064205503306,74.81743699619248,77.04206015759358,36928000,2020-07-13,2020,07,13,75.00665130615235,73.32549362182617,73.32549362182617,75.00437228352794,74.36927598340196,73.89084313579723,0.0
75.57974243164062,75.69754197004247,73.73670145633712,74.07518931359142,31700000,2020-07-14,2020,07,14,75.35855712890626,73.94983291625977,73.5304253318093,75.19840555542503,74.61655914559609,74.13183694744185,0.0
75.23479461669922,76.31288946619499,74.45741775678125,75.70649334668163,32214000,2020-07-15,2020,07,15,75.53391571044922,74.44702758789063,73.67245610555013,75.21062945635808,74.74008146122601,74.28209083546083,0.0
75.45150756835938,75.48580382882268,73.87636724149891,74.55682416155821,30386000,2020-07-16,2020,07,16,75.60360260009766,74.84446563720704,73.80930621807391,75.29133685361599,74.87971253043122,74.43512542226792,0.0
